Business Name,Rating,Address,Phone,Website,Maps URL,Scraped At
,,,,,"https://www.google.com/maps/search/pharmacy+in+queens/@40.7241897,-73.8101429,13z/data=!4m2!2m1!6e2?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:16
,3.7,"100-02 Queens Blvd, Forest Hills, NY 11375, United States",+1 718-520-2334,https://www.cvs.com/store-locator/forest-hills-ny-pharmacies/100-02-queens-boulevard-forest-hills-ny-11375/storeid=2057?WT.mc_id=LS_GOOGLE_RX_2057,"https://www.google.com/maps/place/CVS+Pharmacy/@40.7241897,-73.8101429,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c25e3aab738387:0x6b124965c18ef978!8m2!3d40.7265616!4d-73.8537602!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmxNVjlYVG1GQkVBRaoBVAoJL20vMDFyZnBzEAEqDCIIcGhhcm1hY3koADIfEAEiG1eqC-8_WIEIksPkWWqH2wKEeYGhj48-2ExUrjIWEAIiEnBoYXJtYWN5IGluIHF1ZWVuc-ABAPoBBAgAEEI!16s%2Fg%2F11c475881f?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:39
CVS Pharmacy,3.7,"100-02 Queens Blvd, Forest Hills, NY 11375, United States",+1 718-520-2334,https://www.cvs.com/store-locator/forest-hills-ny-pharmacies/100-02-queens-boulevard-forest-hills-ny-11375/storeid=2057?WT.mc_id=LS_GOOGLE_RX_2057,"https://www.google.com/maps/place/CVS+Pharmacy/@40.7265616,-73.925858,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c25e3aab738387:0x6b124965c18ef978!8m2!3d40.7265616!4d-73.8537602!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmxNVjlYVG1GQkVBRaoBVAoJL20vMDFyZnBzEAEqDCIIcGhhcm1hY3koADIfEAEiG1eqC-8_WIEIksPkWWqH2wKEeYGhj48-2ExUrjIWEAIiEnBoYXJtYWN5IGluIHF1ZWVuc-ABAPoBBAgAEEI!16s%2Fg%2F11c475881f?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:43
Queens Central Pharmacy INC,4.7,"116-08 Queens Blvd, Forest Hills, NY 11375, United States",+1 718-268-8060,http://www.queenscentralrx.com/,"https://www.google.com/maps/place/Queens+Central+Pharmacy+INC/@40.715766,-73.9056705,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c26098f09b9253:0x348f92cdf2fedac8!8m2!3d40.715766!4d-73.8335727!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRiM0F5VUhKUlJSQUKqAVQKCS9tLzAxcmZwcxABKgwiCHBoYXJtYWN5KAAyHxABIhtXqgvvP1iBCJLD5Flqh9sChHmBoY-PPthMVK4yFhACIhJwaGFybWFjeSBpbiBxdWVlbnPgAQD6AQQIABBA!16s%2Fg%2F1thmlxv6?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:46
Queens Central Pharmacy INC,4.7,"116-08 Queens Blvd, Forest Hills, NY 11375, United States",+1 718-268-8060,http://www.queenscentralrx.com/,"https://www.google.com/maps/place/Queens+Central+Pharmacy+INC/@40.715766,-73.9056705,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c26098f09b9253:0x348f92cdf2fedac8!8m2!3d40.715766!4d-73.8335727!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRiM0F5VUhKUlJSQUKqAVQKCS9tLzAxcmZwcxABKgwiCHBoYXJtYWN5KAAyHxABIhtXqgvvP1iBCJLD5Flqh9sChHmBoY-PPthMVK4yFhACIhJwaGFybWFjeSBpbiBxdWVlbnPgAQD6AQQIABBA!16s%2Fg%2F1thmlxv6?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:46
CVS Pharmacy,3.6,"118-10 Queens Blvd, Forest Hills, NY 11375, United States",+1 718-520-4530,https://www.cvs.com/store-locator/forest-hills-ny-pharmacies/118-10-queens-boulevard-corner-of-78th-avenue-forest-hills-ny-11375/storeid=499?WT.mc_id=LS_GOOGLE_RX_499,"https://www.google.com/maps/place/CVS+Pharmacy/@40.715766,-73.9056705,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c2618223eaf67d:0xdfdedf9668b6a312!8m2!3d40.7146041!4d-73.8324877!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmxOVFZFVTBwUkVBRaoBVAoJL20vMDFyZnBzEAEqDCIIcGhhcm1hY3koADIfEAEiG1eqC-8_WIEIksPkWWqH2wKEeYGhj48-2ExUrjIWEAIiEnBoYXJtYWN5IGluIHF1ZWVuc-ABAPoBBAgAEEU!16s%2Fg%2F11fv3wksyg?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:46
CVS Pharmacy,3.4,"219-39 89th Ave, Queens Village, NY 11427, United States",+1 718-479-3774,https://www.cvs.com/store-locator/queens-village-ny-pharmacies/219-39-89th-avenue-queens-village-ny-11427/storeid=144?WT.mc_id=LS_GOOGLE_RX_144,"https://www.google.com/maps/place/CVS+Pharmacy/@40.7294008,-73.8158842,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c26228ec87a703:0x555e634870eeac42!8m2!3d40.7294008!4d-73.7437864!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBhamhJUmxWbkVBRaoBVAoJL20vMDFyZnBzEAEqDCIIcGhhcm1hY3koADIfEAEiG1eqC-8_WIEIksPkWWqH2wKEeYGhj48-2ExUrjIWEAIiEnBoYXJtYWN5IGluIHF1ZWVuc-ABAPoBBAg_ED0!16s%2Fg%2F11c467h_wc?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:49
Queens Village Pharmacy,4.9,"214-44 Hillside Ave., Queens Village, NY 11427, United States",+1 718-776-1123,http://queensvillagerx.com/,"https://www.google.com/maps/place/Queens+Village+Pharmacy/@40.7294008,-73.8158842,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c26180cd9d8b33:0xbd1d34253b2a1760!8m2!3d40.7265935!4d-73.7499763!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnFiMjlpYkRCUlJSQUKqAVQKCS9tLzAxcmZwcxABKgwiCHBoYXJtYWN5KAAyHxABIhtXqgvvP1iBCJLD5Flqh9sChHmBoY-PPthMVK4yFhACIhJwaGFybWFjeSBpbiBxdWVlbnPgAQD6AQQIABBE!16s%2Fg%2F11g9qv_vgm?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:53
Walgreens Pharmacy,3.3,"110-88 Queens Blvd, Forest Hills, NY 11375, United States",+1 718-275-5252,https://www.walgreens.com/locator/walgreens-11088+queens+blvd-forest+hills-ny-11375/id=19694,"https://www.google.com/maps/place/Walgreens+Pharmacy/@40.7184402,-73.9102964,13z/data=!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c261c9d9f5dbd5:0x89187fce485eacc0!8m2!3d40.7184402!4d-73.8381986!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTkJjR0ZZY1cxQlJSQUKqAVQKCS9tLzAxcmZwcxABKgwiCHBoYXJtYWN5KAAyHxABIhtXqgvvP1iBCJLD5Flqh9sChHmBoY-PPthMVK4yFhACIhJwaGFybWFjeSBpbiBxdWVlbnPgAQD6AQQIABA3!16s%2Fg%2F11h84b1t5c?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:56
Healthy Pharmacy,4.8,"59-17 Junction Blvd, Queens, NY 11373, United States",+1 718-777-2020,http://www.healthypharmacyny.com/,"https://www.google.com/maps/place/Healthy+Pharmacy/@40.7348102,-73.9365412,13z/data=!3m1!5s0x89c25e4afbb3fef9:0x8fc33ad7b0c48ebd!4m11!1m3!2m2!1spharmacy+in+queens!6e2!3m6!1s0x89c25f3825bea8ad:0xf91a72264cef2635!8m2!3d40.7348102!4d-73.8644434!15sChJwaGFybWFjeSBpbiBxdWVlbnNaFCIScGhhcm1hY3kgaW4gcXVlZW5zkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnRlR1pFT1doM1JSQUKqAVQKCS9tLzAxcmZwcxABKgwiCHBoYXJtYWN5KAAyHxABIhtXqgvvP1iBCJLD5Flqh9sChHmBoY-PPthMVK4yFhACIhJwaGFybWFjeSBpbiBxdWVlbnPgAQD6AQQIRxBD!16s%2Fg%2F11bcdls2_3?hl=en&entry=ttu&g_ep=EgoyMDI1MDkyMS4wIKXMDSoASAFQAw%3D%3D",2025-09-24 11:52:59
